feature	ham_probability	spam_probability
0	0.0009503878350357115	0.0017376965003518229
00	0.001455908637096718	0.0016108274671184114
000	0.0010036235172553429	0.00145203654810369
0000	6.545370764708757e-06	0.0001347812955210866
000000	1.3090741529417515e-06	4.1471167852642027e-05
00000000	1.3090741529417515e-06	2.72836630609487e-07
0000000000	2.1817902549029191e-07	8.185098918284611e-07
0000000000001110	2.1817902549029191e-07	5.45673261218974e-07
000000000002858	4.3635805098058383e-07	2.72836630609487e-07
000000000003619	8.727161019611677e-07	2.72836630609487e-07
000000000003991	4.3635805098058383e-07	2.72836630609487e-07
000000000003997	4.3635805098058383e-07	2.72836630609487e-07
000000000005168	4.3635805098058383e-07	2.72836630609487e-07
000000000005409	4.3635805098058383e-07	2.72836630609487e-07
000000000005411	4.3635805098058383e-07	2.72836630609487e-07
000000000005412	4.3635805098058383e-07	2.72836630609487e-07
000000000005413	4.3635805098058383e-07	2.72836630609487e-07
000000000005820	4.3635805098058383e-07	2.72836630609487e-07
000000000006238	4.3635805098058383e-07	2.72836630609487e-07
000000000006452	6.545370764708757e-07	2.72836630609487e-07
000000000007399	4.3635805098058383e-07	2.72836630609487e-07
000000000007494	6.545370764708757e-07	2.72836630609487e-07
000000000007498	4.3635805098058383e-07	2.72836630609487e-07
000000000007568	4.3635805098058383e-07	2.72836630609487e-07
000000000007588	6.545370764708757e-07	2.72836630609487e-07
000000000007589	8.727161019611677e-07	2.72836630609487e-07
000000000007590	6.545370764708757e-07	2.72836630609487e-07
000000000007591	6.545370764708757e-07	2.72836630609487e-07
000000000007592	4.3635805098058383e-07	2.72836630609487e-07
000000000007593	6.545370764708757e-07	2.72836630609487e-07
000000000007666	4.3635805098058383e-07	2.72836630609487e-07
000000000007874	4.3635805098058383e-07	2.72836630609487e-07
000000000007876	1.0908951274514595e-06	2.72836630609487e-07
000000000008254	4.3635805098058383e-07	2.72836630609487e-07
000000000008348	4.3635805098058383e-07	2.72836630609487e-07
000000000008544	6.545370764708757e-07	2.72836630609487e-07
000000000008582	6.545370764708757e-07	2.72836630609487e-07
000000000008593	4.3635805098058383e-07	2.72836630609487e-07
000000000008853	6.545370764708757e-07	2.72836630609487e-07
000000000008858	6.545370764708757e-07	2.72836630609487e-07
000000000009507	4.3635805098058383e-07	2.72836630609487e-07
000000000009596	6.545370764708757e-07	2.72836630609487e-07
000000000009641	4.3635805098058383e-07	2.72836630609487e-07
000000000009688	4.3635805098058383e-07	2.72836630609487e-07
000000000009797	8.727161019611677e-07	2.72836630609487e-07
000000000009842	1.0908951274514595e-06	2.72836630609487e-07
000000000010207	6.545370764708757e-07	2.72836630609487e-07
000000000010210	4.3635805098058383e-07	2.72836630609487e-07
000000000010211	4.3635805098058383e-07	2.72836630609487e-07
000000000010212	4.3635805098058383e-07	2.72836630609487e-07
000000000010219	4.3635805098058383e-07	2.72836630609487e-07
000000000010552	4.3635805098058383e-07	2.72836630609487e-07
000000000011185	8.727161019611677e-07	2.72836630609487e-07
000000000012677	4.3635805098058383e-07	2.72836630609487e-07
000000000012734	4.3635805098058383e-07	2.72836630609487e-07
000000000012735	4.3635805098058383e-07	2.72836630609487e-07
000000000012736	4.3635805098058383e-07	2.72836630609487e-07
000000000012738	4.3635805098058383e-07	2.72836630609487e-07
000000000012741	4.3635805098058383e-07	2.72836630609487e-07
000000000012987	4.3635805098058383e-07	2.72836630609487e-07
000000000013085	4.3635805098058383e-07	2.72836630609487e-07
000000000015384	4.3635805098058383e-07	2.72836630609487e-07
000000000015793	4.3635805098058383e-07	2.72836630609487e-07
000000000023619	4.3635805098058383e-07	2.72836630609487e-07
000000000024099	4.3635805098058383e-07	2.72836630609487e-07
000000000025307	4.3635805098058383e-07	2.72836630609487e-07
000000000025312	4.3635805098058383e-07	2.72836630609487e-07
000000000031063	1.0908951274514595e-06	2.72836630609487e-07
000000000031067	1.0908951274514595e-06	2.72836630609487e-07
000000000038953	6.545370764708757e-07	2.72836630609487e-07
000000000042084	4.3635805098058383e-07	2.72836630609487e-07
000000000048227	4.3635805098058383e-07	2.72836630609487e-07
000000000049773	6.545370764708757e-07	2.72836630609487e-07
000000000052681	4.3635805098058383e-07	2.72836630609487e-07
000000000053089	4.3635805098058383e-07	2.72836630609487e-07
000000000053239	1.0908951274514595e-06	2.72836630609487e-07
000000000053327	1.0908951274514595e-06	2.72836630609487e-07
000000000053328	6.545370764708757e-07	2.72836630609487e-07
000000000053352	4.3635805098058383e-07	2.72836630609487e-07
000000000054493	6.545370764708757e-07	2.72836630609487e-07
000000000055952	6.545370764708757e-07	2.72836630609487e-07
000000000058321	6.545370764708757e-07	2.72836630609487e-07
000000000079989	6.545370764708757e-07	2.72836630609487e-07
000000001606	4.3635805098058383e-07	2.72836630609487e-07
00000004150000000192	2.1817902549029191e-07	8.185098918284611e-07
000010220	4.3635805098058383e-07	2.72836630609487e-07
0000102317	4.3635805098058383e-07	2.72836630609487e-07
0000102374	4.3635805098058383e-07	2.72836630609487e-07
0000102789	1.0908951274514595e-06	2.72836630609487e-07
0000103595	4.3635805098058383e-07	2.72836630609487e-07
0000104281	1.0908951274514595e-06	2.72836630609487e-07
0000104282	1.0908951274514595e-06	2.72836630609487e-07
0000104486	4.3635805098058383e-07	2.72836630609487e-07
0000104631	4.3635805098058383e-07	2.72836630609487e-07
0000104730	6.545370764708757e-07	2.72836630609487e-07
0000104776	4.3635805098058383e-07	2.72836630609487e-07
0000104778	4.3635805098058383e-07	2.72836630609487e-07
0000107043	6.545370764708757e-07	2.72836630609487e-07
0000108729	1.3090741529417515e-06	2.72836630609487e-07
00005	2.1817902549029191e-07	5.45673261218974e-07
000066	2.1817902549029191e-07	8.185098918284611e-07
000080	2.1817902549029191e-07	1.3368994899864864e-05
000089	2.1817902549029191e-07	5.45673261218974e-07
000099	1.3090741529417515e-06	3.0012029367043573e-06
0001	1.0908951274514595e-06	4.638222720361279e-06
000100	2.1817902549029191e-07	1.364183153047435e-06
000166	6.545370764708757e-07	2.72836630609487e-07
00018	2.1817902549029191e-07	8.185098918284611e-07
0002	4.3635805098058383e-07	1.909856414266409e-06
000202	4.3635805098058383e-07	2.72836630609487e-07
00020608	2.1817902549029191e-07	8.185098918284611e-07
0003	2.1817902549029191e-07	1.364183153047435e-06
00036004	2.1817902549029191e-07	5.45673261218974e-07
